#,CATEGORY 2,Product ID,Basket,Viva Product,Meas'ment,PQ
1,BAKERY,107223,Arabic Bread Khubz Large 600g,Cottage Loaf Big arabic bread,600,g
2,BAKERY,111626,White Sliced Bread Large 600g,Modern Bakery Large white bread,600,g
3,BREAKFAST,110937,Mixed Nuts Bar 40g,Natur's Super nuts bar,40,g
4,CANS & JARS,106496,Sweet Corn 340g,Freshly Pick Sweet Corn,340,g
5,CHILLER 1,109514,Shredded Mozzarella 500g,Nyssa Shredded mozzarella,500,g
6,CHILLER 1,106240,Unsalted Butter 200g,Milba Butter unsalted,200,g
7,CHILLER 1,109582,Full Cream Fresh Milk 1GAL 3.78L,Milba Full cream milk 1gal,3.78,L
8,CHILLER 1,109583,Full Cream Yogurt 1kg,Milba Full cream yoghurt 1kg,1,kg
9,COLD DRINKS,100845,Bottled Water 1.5L x 6,Lake Bottle water,6 x 1.5,L
10,COMMODITIES,107636,All Purpose Flour 2kg,Ama All Purpose Flour,2,kg
11,COMMODITIES,110129,Chakki Atta Whole Wheat Flour 5kg,Eatistaan Chakki atta,5,kg
12,COMMODITIES,101007,Milba UHT Full Cream Milk 1L,Milba Milk UHT full fat,1,L
13,COMMODITIES,112125,Hayatna UHT Full Cream Milk 1L,Hayatna Milk Full Fat UHT,1,L
14,COMMODITIES,102545,Sunflower Oil 5L,Ama Sunflower oil 5 L,5,L
15,COMMODITIES,108821,Jasmine Rice 5kg,Silver Lotus Jasmine rice AAA,5,kg
16,COMMODITIES,108858,Basmati Rice 5kg,Ama Basmati rice,5,kg
17,COMMODITIES,106647,White Sugar Granulated 5kg,Volga Sugar Granulated 5kg,5,kg
18,COOKING & BAKING INGREDIENTS,102812,Penne Rigate Pasta 500g,Arbella Penne rigate,500,g
19,EGGS 1,101005,White Eggs 30s Small,Viva White eggs 30's (S),30,pc
20,FREEZER,110450,Frozen French Fries 1kg,McSNACKER French fries,1,kg
21,FREEZER,109574,Frozen Whole Chicken 900g,Perdix Whole chicken 900g,900,g
22,FRESH FRUIT,101717,Royal Gala Apple 1kg, Apple Royal Gala,1,kg
23,FRESH FRUIT,101675,Premium Banana 1kg, Banana Premium,1,kg
24,FRESH FRUIT,102016,Fresh Strawberry 250g, Strawberry 250g/pc,1,pc
25,FRESH FRUIT,103649,Fresh Blueberry 125g, Blueberry 125g/pc,1,pc
26,FRESH FRUIT,101683,Lemon 1kg, Lemon,1,kg
27,FRESH FRUIT,101645,Orange 1kg, Orange,1,kg
28,FRESH FRUIT,101692,Watermelon 1kg, Watermelon IND,1,kg
29,FRESH JUICE,109093,Fresh Orange Juice 1L,Cipri Fresh orange juice 1L,1,L
30,FRESH MEAT,112320,Chicken Breast Tenders 400g,D'Pollo Tender Chicken Breast,400,g
31,FRESH MEAT,107617,Fresh Whole Chicken 1kg,D'Pollo Fresh Chicken 1kg,1,kg
32,FRESH MEAT,106443,Beef Mince 1kg,The Butcher BZ Beef Mince,1,kg
33,FRESH VEGETABLE,101660,Cucumber 1kg, Cucumber,1,kg
34,FRESH VEGETABLE,101625,White Cabbage 1kg, Cabbage White,1,kg
35,FRESH VEGETABLE,101654,Pink Onion 1kg, Onion Pink,1,kg
36,FRESH VEGETABLE,101635,White Garlic 1kg, Garlic Pure White,1,kg
37,FRESH VEGETABLE,103555,Premium Potato 1kg, Potato Premium,1,kg
38,FRESH VEGETABLE,101630,Carrot 1kg, Carrot,1,kg
39,FRESH VEGETABLE,101837,Tomato 1kg, Tomato,1,kg
40,HOT DRINKS,107368,3-in-1 Coffee Mix 30 sachets,Cafe Dolce 3in1 coffee mix,30 x 20,g
41,HOUSEHOLD,105303,Facial Tissue 5 Pack,Viva Facial tissue 5's,150 x 5,pack
