#,CATEGORY 2,Product ID,Basket,Viva Product,Meas'ment,PQ,Carrefour Product,PQ,Meas'ment,Lulu Product,PQ,Meas'ment,GALA Product,PQ,Meas'ment,Sava Product,PQ,Meas'ment
1,BAKERY,107223,Arabic Bread Khubz Large 600g,Cottage Loaf Big arabic bread,600,g,Alarz arabic bread,540,g,Big Arabic Bread,1,Pc,Gracias Mama Arabic Bread ,600,g,Baker's Arabic Bread,600,g
2,BAKERY,111626,White Sliced Bread Large 600g,Modern Bakery Large white bread,600,g,Carrefour White bread,600,g,White sandwich Bread,1,Pk,Gracias Mama White Sandwich Bread ,600,g,Sandwich bread white,600,g
3,BREAKFAST,110937,Mixed Nuts Bar 40g,Natur's Super nuts bar,40,g,Be kind dark choclate nuts & sea salt,40,g,Peanut Btr and dark choco Bar,40,g,Crunchy Bar Nut & Almond Chocolate ,40,g,Nut BAR Almond,40,g
4,CANS & JARS,106496,Sweet Corn 340g,Freshly Pick Sweet Corn,340,g,Al Alali sweet corn,200,g,sweet corn,200,g,Uno Sweet Corn ,340,g,Sweet Corn,340,g
5,CHILLER 1,109514,Shredded Mozzarella 500g,Nyssa Shredded mozzarella,500,g,Carrefour mozzarella shredded,400,g,Shredded mozzarella,500,g,Halab Mozzarella ,500,g,Shredded mozzarella,1,kg
6,CHILLER 1,106240,Unsalted Butter 200g,Milba Butter unsalted,200,g,Marquis butter unsalted,200,g, Butter unsalted,250,g,Trust unsalted butter ,400,g,Premium Butter ,200,g
7,CHILLER 1,109582,Full Cream Fresh Milk 1GAL 3.78L,Milba Full cream milk 1gal,3.78,L,Carrefour fresh milk,1,gal,Al Rawabi full fat milk,1,gal,Marmum Full Cream ,3.78,L,Fresh milk full dat,1,gal
8,CHILLER 1,109583,Full Cream Yogurt 1kg,Milba Full cream yoghurt 1kg,1,kg,Carrefour plain yogurt,1,Kg,Lulu yoghurt,1,kg,Marmum yoghurt ,1,kg,Yoghurt,1,kg
9,COLD DRINKS,100845,Bottled Water 1.5L x 6,Lake Bottle water,6 x 1.5,L,Al reem water bottle,6 x 1.5,L,Bottled water ,6x1.5,l,Anna Bottled Water 6x1.5L,6 x 1.5,L,water,6x1.5,l
10,COMMODITIES,107636,All Purpose Flour 2kg,Ama All Purpose Flour,2,kg,Carrefour all purpose flour,2,Kg,Lulu all purpose flour,5,kg,All Purpose Flour Maida ,2,kg,All purpose flour,2,kg
11,COMMODITIES,110129,Chakki Atta Whole Wheat Flour 5kg,Eatistaan Chakki atta,5,kg,Jenan wheat flour,5,Kg,Lulu Chakki atta ,5,kg,,5,kg,Chakki atta,5,Kg
12,COMMODITIES,101007,Milba UHT Full Cream Milk 1L,Milba Milk UHT full fat,1,L,Carrefour UHT milk,1,L,Lulu UHT milk ,1,L,Safa UHT Milk Full Cream 4's,4,L,Meggle milk full fat,1,l
13,COMMODITIES,112125,Hayatna UHT Full Cream Milk 1L,Hayatna Milk Full Fat UHT,1,L,Hayatna full fat UHT,4,L,Hayatna UHT Milk,1,L,Shirin Asal Moo Full Fat Milk 4's,4,L,Al Ain UHT milk ,4,l
14,COMMODITIES,102545,Sunflower Oil 5L,Ama Sunflower oil 5 L,5,L,Afia sunflower oil,2.9,L,Corolo sunflower oil,5,l,Sunflower Oil,5,L,Sunflower oil,5,l
15,COMMODITIES,108821,Jasmine Rice 5kg,Silver Lotus Jasmine rice AAA,5,kg,The swan jasmine rice,5,Kg,Lulu Jasmine Rice,5,kg,White Swan Jasmine Rice ,5,kg,Jasmine rice AAA,5,kg
16,COMMODITIES,108858,Basmati Rice 5kg,Ama Basmati rice,5,kg,Carrefour long grain basmati,5,Kg,Lulu Basmati rice,5,kg,Neama Basmati Rice ,5,kg,Basmati rice,5,kg
17,COMMODITIES,106647,White Sugar Granulated 5kg,Volga Sugar Granulated 5kg,5,kg,Carrefour white sugar ,5,Kg,white sugar ,5,kg,Gala White Sugar ,4,kg,Sugar,5,kg
18,COOKING & BAKING INGREDIENTS,102812,Penne Rigate Pasta 500g,Arbella Penne rigate,500,g,Carrefour pasta penne rigate,400,g,Pasta reggia spaghetti,500,g,,500,g,Penne Rigatte,500,g
19,EGGS 1,101005,White Eggs 30s Small,Viva White eggs 30's (S),30,pc,LP white eggs India,30,pc,Egg ,30,pc,Freshlay Fresh Eggs ,30,pc,Egg,30,pc
20,FREEZER,110450,Frozen French Fries 1kg,McSNACKER French fries,1,kg,Al Ain french fries,1,Kg,Frozen French fries ,1,kg,Allana French Fries ,2.5,kg,Frozen French fries,1,kg
21,FREEZER,109574,Frozen Whole Chicken 900g,Perdix Whole chicken 900g,900,g,Qualiko whole chicken,1000,g,chicken,800,g,Qualiko Whole Chicken,1000,g,whole chicken ,1000,g
22,FRESH FRUIT,101717,Royal Gala Apple 1kg, Apple Royal Gala,1,kg,Apple Royal Gala,1,Kg,Apple Royal gala ,1,kg,Apple Royal,1,kg,Apple Fuji,1,kg
23,FRESH FRUIT,101675,Premium Banana 1kg, Banana Premium,1,kg,Banana Ecuador,1,Kg,Banana,1,kg,Banana,1,kg,Banana,1,kg
24,FRESH FRUIT,102016,Fresh Strawberry 250g, Strawberry 250g/pc,1,pc,San Strawberry,250,g,Strawberry,250,g,Al Wadi Strawberry ,1,pc,Strawberry,250,g
25,FRESH FRUIT,103649,Fresh Blueberry 125g, Blueberry 125g/pc,1,pc,Blueberry Sekoya,125,g,Blueberry ,125,g,Blueberry,1,pc,Blueberry 125g/pc,125,g
26,FRESH FRUIT,101683,Lemon 1kg, Lemon,1,kg,Lemon Turkey,1,kg,Lemon,1,kg,Lemon big,1,kg,Lemon,1,kg
27,FRESH FRUIT,101645,Orange 1kg, Orange,1,kg,Orange,1,kg,Orange Navel,1,kg,Orange Navel,1,kg,Orange,1,kg
28,FRESH FRUIT,101692,Watermelon 1kg, Watermelon IND,1,kg,Watermelon ,1,Kg,Water Melon,1,Kg,Watermelon India,1,kg,Watermelon,1,kg
29,FRESH JUICE,109093,Fresh Orange Juice 1L,Cipri Fresh orange juice 1L,1,L,Carrefour fresh orange juice,1,L,Orange juice ,1,L,Growmark Squeezed Orange ,1,L,Fresh orange juice,1,l
30,FRESH MEAT,112320,Chicken Breast Tenders 400g,D'Pollo Tender Chicken Breast,400,g,Farm fresh chicken breast,450,g,Chicken Breast,450,g,,400,g,Tender Chicken Breast,400,g
31,FRESH MEAT,107617,Fresh Whole Chicken 1kg,D'Pollo Fresh Chicken 1kg,1,kg,Tanmiah fresh chicken ,1,kg,Fresh chicken,1,kg,,1,kg,Fresh Chicken,1,Kg
32,FRESH MEAT,106443,Beef Mince 1kg,The Butcher BZ Beef Mince,1,kg,Carrefour BZ beef mince,1,kg,Beef Mince,500,g,,1,kg,Beef Mince,500,g
33,FRESH VEGETABLE,101660,Cucumber 1kg, Cucumber,1,kg,Cucumber UAE,1,kg,Cucumber,1,kg,Cucumber ,1,kg,Cucumber ,,
34,FRESH VEGETABLE,101625,White Cabbage 1kg, Cabbage White,1,kg,Cabbage round UAE,1,kg,Cabbage White,1,Kg,Cabbage ,1,kg,white Cabbage,1,kg
35,FRESH VEGETABLE,101654,Pink Onion 1kg, Onion Pink,1,kg,Onion red Turkey,1,kg,Onion,1,Kg,Onion,1,kg,Onion,1,kg
36,FRESH VEGETABLE,101635,White Garlic 1kg, Garlic Pure White,1,kg,Garlic Egypt,1,Kg,Gralic,1,kg,Gralic,1,kg,Garlic,1,kg
37,FRESH VEGETABLE,103555,Premium Potato 1kg, Potato Premium,1,kg,Potato UAE,1,kg,Potato,1,Kg,Potato,1,kg,Potato,1,kg
38,FRESH VEGETABLE,101630,Carrot 1kg, Carrot,1,kg,Carrot,1,kg,Carrots,1,kg,Carrot,1,kg,Carrot,1,kg
39,FRESH VEGETABLE,101837,Tomato 1kg, Tomato,1,kg,Tomato Syria,1,kg,Tomato,1,kg,Tomato,1,kg,Tomato,1,kg
40,HOT DRINKS,107368,3-in-1 Coffee Mix 30 sachets,Cafe Dolce 3in1 coffee mix,30 x 20,g,Carrefour 3 in 1 classic coffee mix,30 x 20,g,Nescafe intense 3 in1 ,20 x30,g,Golden Best Instant Coffee,432,g,Belmundo 3 in 1 instant coffe,20x30,g
41,HOUSEHOLD,105303,Facial Tissue 5 Pack,Viva Facial tissue 5's,150 x 5,pack,Masafi facial tissue,200 x 5,pack,Scott facial tissue,5x190,Pc,None Lyon Facial Tissue 2 ply,150 x 5,pack,soft facial tsisues,150 x 5,pc
