line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
1,EGGS 2White eggs 30's (S)30pc,White Eggs Small 30 Pack,,,,,,,,,,,,,,,,
2,BANANABanana Premium1kg,Banana Premium 1 kg,0.9,"Shallot Banana, 1kg",29.95,0.9,2014370000001,20,,,,,,,,,,
3,OILSunflower oil 5 L5L,Sunflower Oil 5 L,0.9061,Lesieur  Sunflower Oil 2.L,32.5,0.9061,3265474610002,20,,,,,,,,,,
4,RICEJasmine Rice5kg,Jasmine Rice 5 kg,0.9105,Pearl Swan Jasmine Rice 5kg,27.75,0.9105,105010231915,20,Golden Swan Jasmin Rice 5kg,29.5,0.6775,641995008307,20,"Tilda Basmati Rice, 5kg",72.25,0.6728,8901144100507,20
5,FRESH JUICESFresh orange juice 1L1L,Fresh Orange Juice 1 L,0.944,Lacnor Orange Juice 1 ltr,7.5,0.692,6291016111017,20,FRESH WATERMELON JUICE,10.95,0.6612,6291100931033,20,"Barakat Fresh Orange Juice, 1L",24.95,0.944,6291100931514,20
6,TOMATO & PEPPERTomato1kg,Tomato 1 kg,0.8621,"Tomato Round Selected, 1kg",6.95,0.85,2008020000008,20,"Tomato Bunch Import, 1kg",19.95,0.8621,2008050000009,20,"Heinz Tomato Ketchup, 1kg",29,0.8559,6290090033239,20
7,WATERBottle water6 x 1.5L,Bottle Water 6 x 1.5 L,0.8875,Mai Dubai Water 6 x 1.5 L,4.95,0.5685,6514747001625,20,"Hello Bottled Drinking Water, 6x1.5L",6.95,0.8875,2050000333392,20,,,,,
8,MILK & YOGURTFull cream milk 2l2L,Full Cream Milk 2 L,0.6375,"Almarai Fresh Full Fat Milk, 2L",12.75,0.6375,6281007120401,20,,,,,,,,,,
9,PROTEINSWhole chicken 900g900g,Whole Chicken 900 g,,,,,,,,,,,,,,,,
10,PROTEINSWhole chicken 1kg1000g,Whole Chicken 1 kg,0.9032,"Alyoum Fresh Whole Chicken, 1kg",25.75,0.9032,6281101340538,20,"Al Rawdah Fresh Whole Chicken, 1kg",27.75,0.888,6291038010008,20,"Al Khazna Chicken Fresh Whole Chicken, 1kg",28.95,0.8552,6291003293764,20
