line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
1,EGGS 2White eggs 30's (S)30pc,White Eggs Small 30 Pack,,,,,,,,,,,,,,,,
2,BANANABanana Premium1kg,Banana Premium 1 kg,0.8688,Banana Yellow India 1kg,7.95,0.8621,18621_KG,2,Green Banana - India 1kg,8.95,0.8688,40256_KG,2,Banana Rasakadali - India 1kg,11.95,0.8392,386254_KG,2
3,OILSunflower oil 5 L5L,Sunflower Oil 5 L,0.9527,"Noor Sunflower Oil, 5L",45.95,0.9527,1124173_EA,20,"Lulu Sunflower Oil, 5L",46.9,0.9527,411985_EA,20,Rahaf Sunflower Oil 5lt,59.9,0.9372,2089389_EA,20
4,RICEJasmine Rice5kg,Jasmine Rice 5 kg,0.8989,Pinoys Gold Jasmine Rice 5 Kg,21.95,0.6822,1546717_EA,20,Mila Grosa Jasmin Rice 5kg,25.15,0.6833,1039057_EA,20,Lulu Classic Jasmine Rice 5kg,34.5,0.8989,536897_EA,20
5,FRESH JUICESFresh orange juice 1L1L,Fresh Orange Juice 1 L,1.0,"Hayatna Fresh Orange Juice, 1L",6,0.944,1986283_EA,20,Marmum Fresh Orange Juice 1L,6.65,0.95,7608_EA,20,"Fresh Orange Juice, 1L",19.9,1.0,197090_EA,20
6,TOMATO & PEPPERTomato1kg,Tomato 1 kg,0.9417,Tomato - UAE 1kg,5.95,0.9417,1469649_KG,2,Tomato Beef Local 1kg,6.65,0.8758,560320_KG,2,Roma Tomato 1kg,7.65,0.93,1027779_KG,2
7,WATERBottle water6 x 1.5L,Bottle Water 6 x 1.5 L,0.8833,"Al Ain Bottled Drinking Water, 6x1.5L",6.25,0.8833,453496_EA,20,Mai Dubai Water 6 x 1.5 L,6.25,0.5685,1107831_EA,20,"Al Ain Zero Bottled Drinking Water, 6x1.5L",9.4,0.8645,1420090_EA,20
8,MILK & YOGURTFull cream milk 2l2L,Full Cream Milk 2 L,0.9181,"LuLu Full Cream Fresh Milk, 2L",9.5,0.9181,1893622_EA,20,Hayatna Fresh Full Cream Milk 2L,9.9,0.902,1986036_EA,20,"Marmum Full Cream Fresh Milk, 2L",11.1,0.9071,7590_EA,20
9,PROTEINSWhole chicken 900g900g,Whole Chicken 900 g,0.9703,"LuLu Frozen Chicken Griller, 900g",11.8,0.9703,382071_EA,20,,,,,,,,,,
10,PROTEINSWhole chicken 1kg1000g,Whole Chicken 1 kg,0.9032,"Sadia Frozen Grade A Whole Griller Chicken, 1kg",17.05,0.8389,127965_EA,20,"Tanmiah Fresh Whole Chicken, 1kg",20.4,0.8979,567362_EA,20,"Alyoum Fresh Whole Chicken, 1kg",21.9,0.9032,456965_EA,20
11,APPLE & PEARApple Royal Gala1kg,Apple Royal Gala 1 kg,0.9479,Apple Royal Gala - France 1kg,9.95,0.9479,19173_KG,2,Royal Gala Apple - UK 1kg,10.95,0.8779,1269596_KG,20,Royal Gala Apple - USA 1kg,10.95,0.8727,197290_KG,20
12,MILK & YOGURTFull cream yoghurt 1kg1kg,Full Cream Yoghurt 1 kg,0.952,"Al Rawabi Full Cream Fresh Yoghurt, 1kg",5.35,0.9067,293819_EA,20,Hayatna 100% Fresh Full Cream Yoghurt 1kg,5.95,0.8984,1986198_EA,20,"Al Ain Full Cream Yoghurt, 1kg",6.95,0.952,294809_EA,20
13,PROTEINSWhole Chicken 1.1kg1.1kg,Whole Chicken 1.1 kg,0.6891,Sadia Frozen Whole Chicken 1.1 kg,19.15,0.6891,127966_EA,20,"Tanmiah Fresh Whole Chicken, 1kg",20.4,0.6394,567362_EA,20,"Alyoum Fresh Whole Chicken, 1kg",21.9,0.6429,456965_EA,20
14,PROTEINSWhole chicken 800g800g,Whole Chicken 800 g,0.902,"Qualiko Frozen Whole Chicken, Ukraine, 800g",12.55,0.8636,2129595_EA,20,"A'Saffa Fresh Whole Chicken, 800g",17.4,0.902,329015_EA,20,"Al Ain Farms Fresh Chicken, 800g",18.2,0.6333,492139_EA,20
15,CLEANING TOOLS & DISPOSABLESFacial tissue 5's1 x 5pack,Facial Tissue 5 Pack,0.8963,"Masafi Facial Tissues 2Ply, 5x130 Pieces",13.4,0.6385,2004402_EA,20,"Wow Facial Tissue 2 Ply, 5packsx200p",20.75,0.8963,1591573_EA,20,"Home Mate Facial Tissue, 500 Pulls",26.25,0.6487,1245907_CH1,20
16,WATERBottle water12 x 500ml,Bottle Water 12 x 500 ml,0.895,"Oasis Bottled Drinking Water, 12x500ml",5.2,0.895,1437434_EA,20,"Al Ain Zero Bottled Drinking Water, 12x500ml",9.4,0.8727,1545241_EA,20,"Al Ain Bottled Drinking Water, 12x500ml",10.5,0.891,5515_CH3,20
17,COFFEECoffee gold200g,Coffee Gold 200 g,0.9527,"Lulu Coffee Gold, 200g",24.9,0.9527,793864_EA,20,Morrisons Gold Coffee 200g,33.95,0.8333,1776700_EA,20,"Melitta Gold Instant Coffee, 200g",43.95,0.8104,848125_EA,20
18,CLEANING TOOLS & DISPOSABLESToilet rolls 10rolls1 x 10pc,Toilet Rolls 10 Pack,0.6865,Home Mate Toilet Rolls 2ply Plain 10 x 400 Sheets,15.9,0.5877,1166105_EA,20,"Scott Toilet Rolls, 10 Pieces",18,0.6865,2373628_EA,20,"Selpak Toilet Paper, 22+10 Rolls",40.9,0.6013,1675414_EA,20
19,SUGARSSugar Granulated 5kg5kg,Sugar Granulated 5 kg,0.8989,"LuLu Granulated Sugar, 5kg",19.9,0.8989,31596_EA,20,"NOA Fine Sugar, UAE, 5kg",19.9,0.6333,2226021_EA,20,Al Osra Fine Sugar 5kg,23.95,0.5833,448301_EA,20
20,MILK LONGLIFEFull Fat UHT Milk 1L1L,Full Fat UHT Milk 1 L,0.8465,"LuLu UHT Long Life Full Fat Milk, 4x1L",18.8,0.8465,2226395_CH1,20,"Almarai Uht Full Fat Milk with Vitamins, 4x1L",20.5,0.825,943568_CH1,20,"Almarai Full Fat Milk, 1 Gallon",21.15,0.7115,152822_EA,20
21,POTATO & ROOTPotato Premium1kg,Potato Premium 1 kg,0.9192,Potato - Egypt 1kg,3.45,0.9192,1183567_KG,2,Sweet Potato - Egypt 1kg,6.95,0.8688,1752477_KG,2,"Lulu Sweet Potato Fries, 1kg",23.9,0.8392,1859530_EA,20
22,CABBAGE & GOURDSCucumber1kg,Cucumber 1 kg,1.0,Cucumber 1kg,4.45,1.0,18574_KG,2,Snack Cucumber - UAE 1kg,4.95,0.8971,1821556_KG,2,"Namakin Cucumber Jar, 1kg",18.9,0.8833,49444_EA,20
