line,raw,expected,match_score_best,match_1_title,match_1_price,match_1_score,match_1_sku,match_1_stock,match_2_title,match_2_price,match_2_score,match_2_sku,match_2_stock,match_3_title,match_3_price,match_3_score,match_3_sku,match_3_stock
1,EGGS 2White eggs 30's (S)30pc,White Eggs Small 30 Pack,,,,,,,,,,,,,,,,
2,BANANABanana Premium1kg,Banana Premium 1 kg,,,,,,,,,,,,,,,,
3,OILSunflower oil 5 L5L,Sunflower Oil 5 L,0.5961,"Deep Blue Tuna Flakes Sunflower Oil, Thailand, 185g",5.49,0.5843,6299200047371,20,"Deep Blue Tuna Solid in Sunflower Oil, Thailand, 185g",5.99,0.5808,6299200047395,20,"Dani Mackerel In Sunflower Oil, Morocco, 125g",6.99,0.5961,8410721111275,20
4,RICEJasmine Rice5kg,Jasmine Rice 5 kg,0.8613,"Silver Lotus Jasmine Rice Aaa, Vietnam, 5kg",16.99,0.8465,6299200045506,20,"Silver Lotus Jasmine Rice, Vietnam, 5kg",18.99,0.8613,6299200001298,20,"Ama Basmati Rice, India, 5kg",19.99,0.65,6299200046749,20
5,FRESH JUICESFresh orange juice 1L1L,Fresh Orange Juice 1 L,0.8992,"Cipri Fresh Orange Juice Bottle, UAE, 1L",12.49,0.8992,6299200048651,20,,,,,,,,,,
6,TOMATO & PEPPERTomato1kg,Tomato 1 kg,,,,,,,,,,,,,,,,
7,WATERBottle water6 x 1.5L,Bottle Water 6 x 1.5 L,,,,,,,,,,,,,,,,
8,MILK & YOGURTFull cream milk 2l2L,Full Cream Milk 2 L,0.8923,"Milba Full Cream Fresh Milk, UAE, 2L",9.99,0.8923,6299200051521,20,,,,,,,,,,
9,PROTEINSWhole chicken 900g900g,Whole Chicken 900 g,,,,,,,,,,,,,,,,
10,PROTEINSWhole chicken 1kg1000g,Whole Chicken 1 kg,,,,,,,,,,,,,,,,
11,APPLE & PEARApple Royal Gala1kg,Apple Royal Gala 1 kg,,,,,,,,,,,,,,,,
12,MILK & YOGURTFull cream yoghurt 1kg1kg,Full Cream Yoghurt 1 kg,0.8984,"Milba Full Cream Natural Yoghurt, UAE, 1kg",4.49,0.8984,6299200051545,20,,,,,,,,,,
13,PROTEINSWhole Chicken 1.1kg1.1kg,Whole Chicken 1.1 kg,,,,,,,,,,,,,,,,
14,PROTEINSWhole chicken 800g800g,Whole Chicken 800 g,,,,,,,,,,,,,,,,
15,CLEANING TOOLS & DISPOSABLESFacial tissue 5's1 x 5pack,Facial Tissue 5 Pack,,,,,,,,,,,,,,,,
16,WATERBottle water12 x 500ml,Bottle Water 12 x 500 ml,0.9034,"Lake Bottle Water Pack, UAE, 12x500ml",3.49,0.9034,6299200000147,20,,,,,,,,,,
17,COFFEECoffee gold200g,Coffee Gold 200 g,0.8284,"Cafe Dolce Gold Coffee, Belgium, 200g",25.99,0.8284,6299200045094,20,,,,,,,,,,
18,CLEANING TOOLS & DISPOSABLESToilet rolls 10rolls1 x 10pc,Toilet Rolls 10 Pack,0.5963,"Scala 2 Ply Toilet Paper Rolls, Italy, 10x130 Sheets",7.99,0.5855,8005495463264,20,"Perla Chamomile Toilet Roll, Italy, 3Ply x 4 Rolls x 150 Sheets",9.99,0.5646,8005495465749,20,"Bunny Bunny Toilet Rolls 10 Rollsx400 Sheets, 2 Ply, UAE",10.99,0.5963,6299200034081,20
19,SUGARSSugar Granulated 5kg5kg,Sugar Granulated 5 kg,0.62,"Volga White Sugar, UAE, 5kg",15.99,0.62,6291106821543,20,,,,,,,,,,
20,MILK LONGLIFEFull Fat UHT Milk 1L1L,Full Fat UHT Milk 1 L,0.8621,"Black Forest Milk Organic Full Fat UHT Milk, Germany, 1L",4.99,0.8392,4046700027189,20,"Milba Milk Uht Full Fat Original, Germany, 1L",4.99,0.8056,6299200005708,20,"Salzburgmilch 3.5% Full Fat UHT Milk, Austria, 1L",5.99,0.8621,9004584021667,20
21,POTATO & ROOTPotato Premium1kg,Potato Premium 1 kg,0.9,Potato Premium 1kg,4.99,0.9,103555,2,,,,,,,,,,
22,CABBAGE & GOURDSCucumber1kg,Cucumber 1 kg,0.95,Cucumber - UAE 1kg,6.99,0.95,101660,2,"Freshly Pick Pickled Cucumbers Crisp & Crunchy India, 1kg",8.99,0.7773,6299200025133,20,,,,,
23,MILK LONGLIFEMilk Full Fat UHT1L,Milk Full Fat UHT 1 L,0.8515,"Black Forest Milk Organic Full Fat UHT Milk, Germany, 1L",4.99,0.8392,4046700027189,20,"Milba Milk Uht Full Fat Original, Germany, 1L",4.99,0.8389,6299200005708,20,"Salzburgmilch 3.5% Full Fat UHT Milk, Austria, 1L",5.99,0.8515,9004584021667,20
24,CLEANING TOOLS & DISPOSABLESKitchen roll 3+11 x 4pack,Kitchen Roll 4 Pack,0.5949,"Scala Limone 2 Ply Kitchen Rolls, Italy, 2x98 Sheets",7.99,0.5775,8005495467552,20,"Bunny Bunny Kitchen Roll 3 + 1x90 Sheets, 2Ply, UAE",11.99,0.5949,6299200034456,20,,,,,
25,PROTEINSWhole chicken 700g700g,Whole Chicken 700 g,,,,,,,,,,,,,,,,
26,CLEANING TOOLS & DISPOSABLESFacial tissue 5's1 x 5pack,Facial Tissue 5 Pack,,,,,,,,,,,,,,,,
27,BREADLarge white bread600g,Large White Bread 600 g,0.8456,"Cottage Loaf Arabic Bread White Large, UAE, 600g",1.99,0.8456,6299200035811,20,,,,,,,,,,
28,ONION & GARLICOnion Pink1kg,Onion Pink 1 kg,1.0,Onion Pink 1kg,3.99,1.0,101654,4,,,,,,,,,,
29,FROZEN VEGETABLESFrench fries1kg,French Fries 1 kg,0.5988,"McSnacker Crinkle Cut Fries, Belgium, 1kg",7.99,0.5988,6299200055413,20,,,,,,,,,,
30,POTATO & ROOTCarrot1kg,Carrot 1 kg,,,,,,,,,,,,,,,,
31,PASTA & INSTANT FOODElbow500g,Elbow 500 g,0.8559,"Finosta Elbow, India, 500g",2.49,0.8559,8908007958145,20,"Arbella Pasta Elbows, Turkey, 500g",3.29,0.8167,8697430885400,20,,,,,
32,PASTA & INSTANT FOODPenne rigate500g,Penne Rigate 500 g,0.8979,"Finosta Penne Rigate, India, 500g",2.49,0.8979,8908007958008,20,"Arbella Pasta Penne Rigatte, Turkey, 500g",3.29,0.6458,8697430885431,20,"Antonio Amato Organic Whole Wheat Penne Rigate Pasta - Italy, 500g",6.99,0.7988,8008120750807,20
33,COFFEECoffee gold100g,Coffee Gold 100 g,0.8284,"Cafe Dolce Gold Coffee, Belgium, 100g",13.99,0.8284,6299200045087,20,,,,,,,,,,
34,PASTA & INSTANT FOODSpaghetti500g,Spaghetti 500 g,0.8833,"Finosta Spaghetti, India, 500g",2.49,0.8833,8908007958121,20,"Arbella Pasta Spaghetti, Turkey, 500g",3.29,0.85,8697430885493,20,,,,,
35,OILCow ghee1kg,Cow Ghee 1 kg,0.5573,"Milba Cow Ghee, India, 1L",26.99,0.5573,6299200050630,20,,,,,,,,,,
36,FRESH JUICESFresh Pomegranate Juice 1 L1L,Fresh Pomegranate Juice 1 L,0.6944,"Cipri Pomegranate Juice, Cyprus, 1L",7.99,0.6944,6299200054331,20,,,,,,,,,,
